cust_id,customer_gender,age_group,customer_country,referral_type,transaction_type,transaction_date,subscription_type,transaction_year,subscription_price
1,Male,35-44,Denmark,,INITIAL,2020-09-01,BASIC,2020,33.0
2,Other,18-24,Denmark,,INITIAL,2022-03-01,BASIC,2022,53.0
3,Other,25-34,Norway,facebook,INITIAL,2020-10-01,MAX,2020,99.0
3,Other,25-34,Norway,facebook,REDUCTION,2022-02-01,BASIC,2022,53.0
4,Male,18-24,Sweden,Display,INITIAL,2022-05-01,PRO,2022,85.0
5,Other,35-44,Sweden,,INITIAL,2022-08-01,BASIC,2022,53.0
6,Other,55-65,Sweden,facebook,INITIAL,2022-06-01,MAX,2022,119.0
7,Other,25-34,Sweden,facebook,INITIAL,2022-02-01,MAX,2022,119.0
8,Other,45-54,Sweden,facebook,INITIAL,2021-01-01,BASIC,2021,43.0
8,Other,45-54,Sweden,facebook,CHURN,2021-04-01,BASIC,2021,43.0
9,Female,25-34,Sweden,facebook,INITIAL,2020-08-01,BASIC,2020,33.0
9,Female,25-34,Sweden,facebook,UPGRADE,2021-07-01,MAX,2021,109.0
9,Female,25-34,Sweden,facebook,CHURN,2021-03-01,BASIC,2021,43.0
10,Other,25-34,Finland,,INITIAL,2022-09-01,MAX,2022,119.0
11,Other,45-54,Norway,Organic Search,INITIAL,2020-05-01,BASIC,2020,33.0
11,Other,45-54,Norway,Organic Search,UPGRADE,2022-01-01,MAX,2022,119.0
12,Male,25-34,Finland,,INITIAL,2020-09-01,BASIC,2020,33.0
12,Male,25-34,Finland,,UPGRADE,2022-09-01,PRO,2022,85.0
13,Male,55-65,Norway,,INITIAL,2022-06-01,BASIC,2022,53.0
14,Other,35-44,Norway,,INITIAL,2020-03-01,BASIC,2020,33.0
14,Other,35-44,Norway,,UPGRADE,2020-07-01,PRO,2020,65.0
15,Female,25-34,Norway,,INITIAL,2022-06-01,PRO,2022,85.0
16,Female,18-24,Norway,Organic Search,INITIAL,2020-12-01,PRO,2020,65.0
16,Female,18-24,Norway,Organic Search,UPGRADE,2022-11-01,MAX,2022,119.0
17,Other,45-54,Denmark,,INITIAL,2021-12-01,BASIC,2021,43.0
17,Other,45-54,Denmark,,CHURN,2022-08-01,BASIC,2022,53.0
18,Female,35-44,Denmark,Bing,INITIAL,2021-11-01,BASIC,2021,43.0
19,Male,25-34,Norway,Organic Search,INITIAL,2022-09-01,PRO,2022,85.0
19,Male,25-34,Norway,Organic Search,REDUCTION,2022-10-01,BASIC,2022,53.0
20,Male,45-54,Finland,Google Ads,INITIAL,2022-11-01,PRO,2022,85.0
21,Other,55-65,Sweden,Organic Search,INITIAL,2021-09-01,PRO,2021,75.0
21,Other,55-65,Sweden,Organic Search,UPGRADE,2022-10-01,MAX,2022,119.0
22,Female,25-34,Finland,,INITIAL,2022-06-01,BASIC,2022,53.0
22,Female,25-34,Finland,,CHURN,2022-11-01,BASIC,2022,53.0
23,Other,35-44,Sweden,facebook,INITIAL,2020-12-01,MAX,2020,99.0
23,Other,35-44,Sweden,facebook,REDUCTION,2021-05-01,PRO,2021,75.0
24,Female,18-24,Denmark,facebook,INITIAL,2021-03-01,MAX,2021,109.0
24,Female,18-24,Denmark,facebook,REDUCTION,2022-04-01,PRO,2022,85.0
25,Other,35-44,Sweden,Google Ads,INITIAL,2020-12-01,MAX,2020,99.0
25,Other,35-44,Sweden,Google Ads,REDUCTION,2022-08-01,BASIC,2022,53.0
26,Other,35-44,Sweden,Paid Search,INITIAL,2021-02-01,BASIC,2021,43.0
26,Other,35-44,Sweden,Paid Search,UPGRADE,2022-07-01,PRO,2022,85.0
26,Other,35-44,Sweden,Paid Search,CHURN,2022-10-01,PRO,2022,85.0
27,Male,25-34,Finland,Google Ads,INITIAL,2020-12-01,BASIC,2020,33.0
28,Male,55-65,Sweden,facebook,INITIAL,2022-07-01,PRO,2022,85.0
29,Female,55-65,Sweden,,INITIAL,2020-06-01,PRO,2020,65.0
29,Female,55-65,Sweden,,UPGRADE,2022-07-01,MAX,2022,119.0
30,Male,45-54,Sweden,Bing,INITIAL,2022-07-01,PRO,2022,85.0
30,Male,45-54,Sweden,Bing, ,2022-10-01,BASIC,2022,53.0
31,Other,35-44,Sweden,Google Ads,INITIAL,2021-05-01,PRO,2021,75.0
31,Other,35-44,Sweden,Google Ads,UPGRADE,2022-11-01,MAX,2022,119.0
32,Female,45-54,Finland,Display,INITIAL,2022-04-01,MAX,2022,119.0
33,Male,18-24,Sweden,facebook,INITIAL,2021-09-01,BASIC,2021,43.0
33,Male,18-24,Sweden,facebook,UPGRADE,2022-11-01,PRO,2022,85.0
33,Male,18-24,Sweden,facebook,CHURN,2022-09-01,BASIC,2022,53.0
34,Other,45-54,Norway,Paid Search,INITIAL,2022-02-01,BASIC,2022,53.0
35,Male,18-24,Sweden,Paid Search,INITIAL,2022-05-01,PRO,2022,85.0
36,Other,45-54,Denmark,Google Ads,INITIAL,2022-10-01,MAX,2022,119.0
37,Female,35-44,Sweden,facebook,INITIAL,2020-02-01,PRO,2020,65.0
37,Female,35-44,Sweden,facebook,UPGRADE,2020-11-01,MAX,2020,99.0
37,Female,35-44,Sweden,facebook,CHURN,2020-11-01,PRO,2020,65.0
38,Male,25-34,Finland,,INITIAL,2021-06-01,PRO,2021,75.0
38,Male,25-34,Finland,,REDUCTION,2022-07-01,BASIC,2022,53.0
39,Other,18-24,Sweden,,INITIAL,2020-08-01,PRO,2020,65.0
39,Other,18-24,Sweden,,UPGRADE,2022-04-01,MAX,2022,119.0
39,Other,18-24,Sweden,,CHURN,2022-07-01,MAX,2022,119.0
40,Other,18-24,Denmark,facebook,INITIAL,2020-12-01,MAX,2020,99.0
40,Other,18-24,Denmark,facebook,REDUCTION,2021-10-01,BASIC,2021,43.0
40,Other,18-24,Denmark,facebook,CHURN,2022-04-01,BASIC,2022,53.0
41,Other,35-44,Sweden,,INITIAL,2021-08-01,MAX,2021,109.0
41,Other,35-44,Sweden,,REDUCTION,2022-10-01,BASIC,2022,53.0
42,Female,25-34,Sweden,TV,INITIAL,2021-06-01,BASIC,2021,43.0
43,Other,45-54,Sweden,Organic Search,INITIAL,2020-04-01,MAX,2020,99.0
43,Other,45-54,Sweden,Organic Search,REDUCTION,2021-10-01,PRO,2021,75.0
44,Other,18-24,Sweden,Paid Search,INITIAL,2021-11-01,PRO,2021,75.0
44,Other,18-24,Sweden,Paid Search,REDUCTION,2022-08-01,BASIC,2022,53.0
45,Female,55-65,Sweden,,INITIAL,2022-02-01,PRO,2022,85.0
45,Female,55-65,Sweden,,UPGRADE,2022-11-01,MAX,2022,119.0
46,Male,18-24,Sweden,Paid Search,INITIAL,2021-10-01,PRO,2021,75.0
46,Male,18-24,Sweden,Paid Search,UPGRADE,2022-03-01,MAX,2022,119.0
47,Male,18-24,Sweden,,INITIAL,2020-10-01,BASIC,2020,33.0
47,Male,18-24,Sweden,,UPGRADE,2021-06-01,MAX,2021,109.0
48,Other,55-65,Sweden,,INITIAL,2020-05-01,MAX,2020,99.0
48,Other,55-65,Sweden,,REDUCTION,2021-02-01,PRO,2021,75.0
49,Other,18-24,Sweden,,INITIAL,2022-09-01,MAX,2022,119.0
50,Other,55-65,Sweden,,INITIAL,2022-06-01,MAX,2022,119.0
51,Female,18-24,Sweden,,INITIAL,2021-12-01,BASIC,2021,43.0
51,Female,18-24,Sweden,,CHURN,2022-07-01,BASIC,2022,53.0
52,Other,25-34,Denmark,,INITIAL,2021-12-01,MAX,2021,109.0
52,Other,25-34,Denmark,,REDUCTION,2022-06-01,PRO,2022,85.0
53,Female,25-34,Denmark,,INITIAL,2020-06-01,PRO,2020,65.0
53,Female,25-34,Denmark,,UPGRADE,2021-01-01,MAX,2021,109.0
54,Other,55-65,Sweden,TV,INITIAL,2022-07-01,PRO,2022,85.0
55,Male,45-54,Sweden,Paid Search,INITIAL,2022-01-01,BASIC,2022,53.0
56,Female,45-54,Finland,facebook,INITIAL,2020-05-01,PRO,2020,65.0
56,Female,45-54,Finland,facebook,UPGRADE,2022-04-01,MAX,2022,119.0
57,Other,35-44,Sweden,Paid Search,INITIAL,2022-03-01,PRO,2022,85.0
58,Female,25-34,Norway,facebook,INITIAL,2022-01-01,BASIC,2022,53.0
59,Other,35-44,Norway,Paid Search,INITIAL,2022-01-01,MAX,2022,119.0
59,Other,35-44,Norway,Paid Search,REDUCTION,2022-11-01,BASIC,2022,53.0
60,Male,45-54,Finland,facebook,INITIAL,2020-08-01,BASIC,2020,33.0
60,Male,45-54,Finland,facebook,UPGRADE,2021-07-01,MAX,2021,109.0
60,Male,45-54,Finland,facebook,CHURN,2021-03-01,BASIC,2021,43.0
61,Male,25-34,Sweden,Organic Search,INITIAL,2022-06-01,PRO,2022,85.0
62,Other,35-44,Sweden,Organic Search,INITIAL,2021-03-01,PRO,2021,75.0
62,Other,35-44,Sweden,Organic Search,UPGRADE,2021-10-01,MAX,2021,109.0
62,Other,35-44,Sweden,Organic Search,CHURN,2022-07-01,MAX,2022,119.0
63,Other,18-24,Denmark,facebook,INITIAL,2020-08-01,MAX,2020,99.0
63,Other,18-24,Denmark,facebook,REDUCTION,2020-11-01,PRO,2020,65.0
64,Other,25-34,Sweden,facebook,INITIAL,2020-02-01,MAX,2020,99.0
64,Other,25-34,Sweden,facebook,REDUCTION,2020-04-01,PRO,2020,65.0
65,Male,55-65,Denmark,Paid Search,INITIAL,2021-06-01,BASIC,2021,43.0
65,Male,55-65,Denmark,Paid Search,UPGRADE,2022-11-01,MAX,2022,119.0
65,Male,55-65,Denmark,Paid Search,CHURN,2022-03-01,BASIC,2022,53.0
66,Male,35-44,Sweden,Organic Search,INITIAL,2020-11-01,PRO,2020,65.0
66,Male,35-44,Sweden,Organic Search,REDUCTION,2022-04-01,BASIC,2022,53.0
67,Male,55-65,Norway,Organic Search,INITIAL,2022-10-01,PRO,2022,85.0
68,Female,45-54,Norway,,INITIAL,2020-09-01,MAX,2020,99.0
68,Female,45-54,Norway,,REDUCTION,2022-04-01,BASIC,2022,53.0
69,Male,55-65,Sweden,,INITIAL,2022-02-01,PRO,2022,85.0
69,Male,55-65,Sweden,,UPGRADE,2022-11-01,MAX,2022,119.0
70,Female,45-54,Sweden,,INITIAL,2022-07-01,PRO,2022,85.0
71,Male,55-65,Denmark,,INITIAL,2021-02-01,PRO,2021,75.0
71,Male,55-65,Denmark,,REDUCTION,2021-08-01,BASIC,2021,43.0
71,Male,55-65,Denmark,,CHURN,2022-05-01,BASIC,2022,53.0
72,Other,18-24,Finland,,INITIAL,2020-09-01,MAX,2020,99.0
72,Other,18-24,Finland,,REDUCTION,2022-02-01,BASIC,2022,53.0
73,Other,45-54,Norway,,INITIAL,2022-05-01,PRO,2022,85.0
74,Other,18-24,Finland,,INITIAL,2022-08-01,MAX,2022,119.0
75,Male,18-24,Norway,facebook,INITIAL,2021-07-01,BASIC,2021,43.0
76,Male,25-34,Sweden,,INITIAL,2022-06-01,PRO,2022,85.0
76,Male,25-34,Sweden,,REDUCTION,2022-11-01,BASIC,2022,53.0
77,Female,35-44,Sweden,facebook,INITIAL,2020-01-01,BASIC,2020,33.0
77,Female,35-44,Sweden,facebook,UPGRADE,2021-11-01,PRO,2021,75.0
78,Male,45-54,Sweden,,INITIAL,2020-03-01,PRO,2020,65.0
78,Male,45-54,Sweden,,UPGRADE,2022-02-01,MAX,2022,119.0
79,Male,18-24,Sweden,,INITIAL,2022-07-01,PRO,2022,85.0
80,Female,18-24,Denmark,Organic Search,INITIAL,2021-01-01,PRO,2021,75.0
80,Female,18-24,Denmark,Organic Search,REDUCTION,2022-07-01,BASIC,2022,53.0
81,Female,45-54,Sweden,,INITIAL,2020-11-01,MAX,2020,99.0
81,Female,45-54,Sweden,,REDUCTION,2022-01-01,PRO,2022,85.0
81,Female,45-54,Sweden,,CHURN,2022-10-01,PRO,2022,85.0
82,Female,18-24,Sweden,Paid Search,INITIAL,2022-09-01,BASIC,2022,53.0
83,Male,35-44,Norway,facebook,INITIAL,2022-09-01,BASIC,2022,53.0
84,Female,45-54,Finland,,INITIAL,2020-09-01,MAX,2020,99.0
84,Female,45-54,Finland,,REDUCTION,2020-10-01,PRO,2020,65.0
85,Male,55-65,Sweden,Organic Search,INITIAL,2021-10-01,PRO,2021,75.0
86,Male,18-24,Norway,,INITIAL,2022-04-01,PRO,2022,85.0
86,Male,18-24,Norway,,REDUCTION,2022-08-01,BASIC,2022,53.0
87,Other,25-34,Sweden,,INITIAL,2020-01-01,MAX,2020,99.0
87,Other,25-34,Sweden,,REDUCTION,2020-06-01,BASIC,2020,33.0
88,Male,25-34,Finland,,INITIAL,2022-06-01,BASIC,2022,53.0
89,Other,55-65,Sweden,Display,INITIAL,2021-03-01,MAX,2021,109.0
89,Other,55-65,Sweden,Display,REDUCTION,2021-05-01,BASIC,2021,43.0
90,Male,55-65,Sweden,,INITIAL,2020-12-01,BASIC,2020,33.0
90,Male,55-65,Sweden,,UPGRADE,2021-09-01,MAX,2021,109.0
90,Male,55-65,Sweden,,CHURN,2021-04-01,BASIC,2021,43.0
91,Other,18-24,Sweden,Organic Search,INITIAL,2020-10-01,MAX,2020,99.0
91,Other,18-24,Sweden,Organic Search,REDUCTION,2021-09-01,BASIC,2021,43.0
92,Female,35-44,Sweden,Organic Search,INITIAL,2022-09-01,PRO,2022,85.0
93,Male,55-65,Sweden,,INITIAL,2022-10-01,PRO,2022,85.0
94,Male,18-24,Denmark,,INITIAL,2022-11-01,PRO,2022,85.0
95,Male,45-54,Sweden,,INITIAL,2020-11-01,BASIC,2020,33.0
95,Male,45-54,Sweden,, ,2021-06-01,MAX,2021,109.0
